Дата	Объект	Потребление эл энергия,кВт час
01.05.2015	Объект 2	185127,5
01.06.2015	Объект 2	225127,5
01.07.2015	Объект 2	284265
01.08.2015	Объект 2	292792,5
01.09.2015	Объект 2	265275
01.10.2015	Объект 2	339285
01.11.2015	Объект 2	410677,5
01.12.2015	Объект 2	387945
01.01.2016	Объект 2	371550
01.02.2016	Объект 2	336697,5
01.03.2016	Объект 2	341317,5
01.04.2016	Объект 2	325335
01.05.2016	Объект 2	255675
01.06.2016	Объект 2	154987,5
01.07.2016	Объект 2	224430
01.08.2016	Объект 2	223395
01.09.2016	Объект 2	269670
01.10.2016	Объект 2	319005
01.11.2016	Объект 2	307867,5
